Раздел;Подраздел;Исследование;Параметр;Норма;Единицы измерения;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;Альбумин, рассчитанный по электрофореграмме (Люб. от 19 до 99 лет);40.2-47.6;г/л;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;Альбумин, рассчитанный по электрофореграмме (Люб. от 2 до 7 лет);30.5-48.9;г/л;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;Альбумин, рассчитанный по электрофореграмме (Люб. от 6 месяцев до 1 года);36.0-50.6;г/л;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;Альбумин, рассчитанный по электрофореграмме (Люб. от 7 до 19 лет);30.9-49.5;г/л;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;альфа1-глобулины (отн.) (Люб. от 0 дней до 6 месяцев);3.2-11.7;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;альфа1-глобулины (отн.) (Люб. от 1 года до 2 лет);3.2-5.4;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;альфа1-глобулины (отн.) (Люб. от 19 до 99 лет);2.9-4.9;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;альфа1-глобулины (отн.) (Люб. от 2 до 7 лет);3.3-5.4;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;альфа1-глобулины (отн.) (Люб. от 6 месяцев до 1 года);3.0-5.0;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;альфа1-глобулины (отн.) (Люб. от 7 до 19 лет);3.2-4.9;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;альфа2-глобулины (отн.) (Люб. от 0 дней до 6 месяцев);10.6-14.0;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;альфа2-глобулины (отн.) (Люб. от 1 года до 2 лет);10.7-15.5;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;альфа2-глобулины (отн.) (Люб. от 19 до 99 лет);7.1-11.8;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;альфа2-глобулины (отн.) (Люб. от 2 до 7 лет);10.0-14.8;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;альфа2-глобулины (отн.) (Люб. от 6 месяцев до 1 года);10.2-16.1;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;альфа2-глобулины (отн.) (Люб. от 7 до 19 лет);8.89-13.0;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;бета1-глобулины (отн.) (Люб. от 0 дней до 6 месяцев);4.8-7.9;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;бета1-глобулины (отн.) (Люб. от 1 года до 2 лет);5.6-7.0;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;бета1-глобулины (отн.) (Люб. от 19 до 99 лет);4.69-7.2;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;бета1-глобулины (отн.) (Люб. от 2 до 7 лет);5.2-7.0;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;бета1-глобулины (отн.) (Люб. от 6 месяцев до 1 года);5.3-6.9;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;бета1-глобулины (отн.) (Люб. от 7 до 19 лет);5.1-6.9;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;бета2-глобулины (отн.) (Люб. от 0 дней до 6 месяцев);2.09-3.3;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;бета2-глобулины (отн.) (Люб. от 1 года до 2 лет);2.3-3.5;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;бета2-глобулины (отн.) (Люб. от 19 до 99 лет);3.2-6.5;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;бета2-глобулины (отн.) (Люб. от 2 до 7 лет);2.6-4.19;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;бета2-глобулины (отн.) (Люб. от 6 месяцев до 1 года);2.09-3.6;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;бета2-глобулины (отн.) (Люб. от 7 до 19 лет);2.9-5.2;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;гамма-глобулины (отн.) (Люб. от 0 дней до 6 месяцев);3.5-9.7;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;гамма-глобулины (отн.) (Люб. от 1 года до 2 лет);5.8-12.1;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;гамма-глобулины (отн.) (Люб. от 19 до 99 лет);11.1-18.79;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;гамма-глобулины (отн.) (Люб. от 2 до 7 лет);7.7-14.8;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;гамма-глобулины (отн.) (Люб. от 6 месяцев до 1 года);4.19-11.0;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;гамма-глобулины (отн.) (Люб. от 7 до 19 лет);9.8-16.9;%;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;M градиент;;;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;Примечание;;;
Биохимические исследования крови;Обмен белков;Определение соотношения белковых фракций методом электрофореза;ФРАКЦИИ ГЛОБУЛИНОВ;;;
Биохимические исследования крови;Обмен белков;Исследование уровня общего белка в крови;Общий белок в крови (Люб. от 0 дней до 1 недели);46.0-70.0;г/л;
Биохимические исследования крови;Обмен белков;Исследование уровня общего белка в крови;Общий белок в крови (Люб. от 1 года до 3 лет);56.0-75.0;г/л;
Биохимические исследования крови;Обмен белков;Исследование уровня общего белка в крови;Общий белок в крови (Люб. от 1 недели до 7 месяцев);44.0-76.0;г/л;
Биохимические исследования крови;Обмен белков;Исследование уровня общего белка в крови;Общий белок в крови (Люб. от 18 до 99 лет);64.0-83.0;г/л;
Биохимические исследования крови;Обмен белков;Исследование уровня общего белка в крови;Общий белок в крови (Люб. от 3 до 18 лет);60.0-80.0;г/л;
Биохимические исследования крови;Обмен белков;Исследование уровня общего белка в крови;Общий белок в крови (Люб. от 7 месяцев до 1 года);51.0-73.0;г/л;
Биохимические исследования крови;Обмен белков;Исследование уровня цистатина C в крови;Цистатин C (Люб. от 0 месяцев до 1 месяца);1.37-1.89;мг/л;
Биохимические исследования крови;Обмен белков;Исследование уровня цистатина C в крови;Цистатин C (Люб. от 1 месяца до 10 недель);0.73-1.16;мг/л;
Биохимические исследования крови;Обмен белков;Исследование уровня цистатина C в крови;Цистатин C (Люб. от 10 недель до 19 лет);0.7-1.4;мг/л;
Биохимические исследования крови;Обмен белков;Исследование уровня цистатина C в крови;Цистатин C (Люб. от 19 до 99 лет);0.5-1.2;мг/л;
Биохимические исследования крови;Обмен железа;Исследование уровня железа сыворотки крови;Железо сывороточное (Жен. от 15 до 19 лет);6.0-30.0;мкмоль/л;
Биохимические исследования крови;Обмен железа;Исследование уровня железа сыворотки крови;Железо сывороточное (Люб. от 0 дней до 15 лет);5.0-25.0;мкмоль/л;
Биохимические исследования крови;Обмен железа;Исследование уровня железа сыворотки крови;Железо сывороточное (Люб. от 19 до 99 лет);5.8-34.5;мкмоль/л;
Биохимические исследования крови;Обмен железа;Исследование уровня железа сыворотки крови;Железо сывороточное (Муж. от 15 до 19 лет);8.0-31.0;мкмоль/л;
Биохимические исследования крови;Обмен железа;Исследование железосвязывающей способности сыворотки;% насыщения (Жен. от 0 до 99 лет);15.0-50.0;%;
Биохимические исследования крови;Обмен железа;Исследование железосвязывающей способности сыворотки;% насыщения (Муж. от 0 до 99 лет);20.0-50.0;%;
Биохимические исследования крови;Обмен железа;Исследование железосвязывающей способности сыворотки;Ненасыщенная железосвязывающая способность (UIBC) (Жен. от 0 до 99 лет);24.2-70.1;мкмоль/л;
Биохимические исследования крови;Обмен железа;Исследование железосвязывающей способности сыворотки;Ненасыщенная железосвязывающая способность (UIBC) (Муж. от 0 до 99 лет);22.3-61.7;мкмоль/л;
Биохимические исследования крови;Обмен железа;Исследование железосвязывающей способности сыворотки;ЖЕЛЕЗОСВЯЗЫВАЮЩАЯ СПОСОБНОСТЬ СЫВОРОТКИ (ОЖСС);;;
Биохимические исследования крови;Обмен железа;Исследование железосвязывающей способности сыворотки;Железосвязывающая способность сыворотки (ОЖСС);41.0-77.0;мкмоль/л;
Биохимические исследования крови;Обмен железа;Исследование уровня трансферрина сыворотки крови;Трансферрин (Люб. от 0 до 9 недель);1.11-2.43;г/л;
Биохимические исследования крови;Обмен железа;Исследование уровня трансферрина сыворотки крови;Трансферрин (Люб. от 1 года до 19 лет);2.38-3.66;г/л;
Биохимические исследования крови;Обмен железа;Исследование уровня трансферрина сыворотки крови;Трансферрин (Люб. от 19 до 99 лет;2.0-3.6;г/л;
Биохимические исследования крови;Обмен железа;Исследование уровня трансферрина сыворотки крови;Трансферрин (Люб. от 9 недель до 1 года;1.15-3.52;г/л;
Биохимические исследования крови;Обмен железа;Исследование уровня ферритина в крови;Ферритин (Жен. от 12 до 18 лет);13.0-68.0;мкг/л;
Биохимические исследования крови;Обмен железа;Исследование уровня ферритина в крови;Ферритин (Жен. от 18 до 20 лет);13.0-150.0;мкг/л;
Биохимические исследования крови;Обмен железа;Исследование уровня ферритина в крови;Ферритин (Жен. от 7 до 12 лет);7.0-84.0;мкг/л;
Биохимические исследования крови;Обмен железа;Исследование уровня ферритина в крови;Ферритин (Люб. от 0 дней до 1 года);12.0-327.0;мкг/л;
Биохимические исследования крови;Обмен железа;Исследование уровня ферритина в крови;Ферритин (Люб. от 1 года до 4 лет);6.0-67.0;мкг/л;
Биохимические исследования крови;Обмен железа;Исследование уровня ферритина в крови;Ферритин (Люб. от 4 до 7 лет);4.0-67.0;мкг/л;
Биохимические исследования крови;Обмен железа;Исследование уровня ферритина в крови;Ферритин (Муж. от 12 до 18 лет);14.0-152.0;мкг/л;
Биохимические исследования крови;Обмен железа;Исследование уровня ферритина в крови;Ферритин (Муж. от 20 до 99 лет);30.0-400.0;мкг/л;
Биохимические исследования крови;Обмен железа;Исследование уровня ферритина в крови;Ферритин (Муж. от 7 до 12 лет);14.0-124.0;мкг/л;
Биохимические исследования крови;Субстраты;Исследования уровня общего билирубина в крови;Билирубин общий (Люб. от 0 дней до 1 дня);137.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследования уровня общего билирубина в крови;Билирубин общий (Люб. от 1 дня до 3 дней);222.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследования уровня общего билирубина в крови;Билирубин общий (Люб. от 15 дней до 99 лет);21.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследования уровня общего билирубина в крови;Билирубин общий (Люб. от 3 дней до 5 дней);290.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследования уровня общего билирубина в крови;Билирубин общий (Люб. от 5 дней до 15 дней);250.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня билирубина связанного (конъюгированного) в крови;Билирубин прямой (коньюгированный) (Жен. от 13 до 19 лет);1.2-4.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня билирубина связанного (конъюгированного) в крови;Билирубин прямой (коньюгированный) (Люб. от 0 до 15 дней);3.4-7.7;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня билирубина связанного (конъюгированного) в крови;Билирубин прямой (коньюгированный) (Люб. от 1 года до 9 лет);1.2-1.8;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня билирубина связанного (конъюгированного) в крови;Билирубин прямой (коньюгированный) (Люб. от 15 дней до 1 года);1.2-3.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня билирубина связанного (конъюгированного) в крови;Билирубин прямой (коньюгированный) (Люб. от 19 до 99 лет);5.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня билирубина связанного (конъюгированного) в крови;Билирубин прямой (коньюгированный) (Люб. от 9 до 13 лет);1.2-2.9;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня билирубина связанного (конъюгированного) в крови;Билирубин прямой (коньюгированный) (Муж. от 13 до 19 лет);1.2-4.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня желчных кислот в крови;Желчные кислоты;2.0-10.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня креатина в крови;Креатинин в крови (Жен. от 15 до 99 лет);44.0-80.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня креатина в крови;Креатинин в крови (Люб. от 0 до 2 месяцев);21.0-75.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня креатина в крови;Креатинин в крови (Люб. от 1 года до 3 лет);21.0-36.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня креатина в крови;Креатинин в крови (Люб. от 11 до 13 лет);46.0-70.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня креатина в крови;Креатинин в крови (Люб. от 13 до 15 лет);50.0-77.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня креатина в крови;Креатинин в крови (Люб. от 2 месяцев до 1 года);15.0-37.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня креатина в крови;Креатинин в крови (Люб. от 3 до 5 лет);27.0-42.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня креатина в крови;Креатинин в крови (Люб. от 5 до 7 лет);28.0-52.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня креатина в крови;Креатинин в крови (Люб. от 7 до 9 лет);35.0-53.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня креатина в крови;Креатинин в крови (Люб. от 9 до 11 лет);34.0-65.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня креатина в крови;Креатинин в крови (Муж. от 15 до 99 лет);62.0-106.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня креатина в крови;Креатинин в крови (Недоношенные от 0 лет до 2 месяцев);25.0-91.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня мочевой кислоты в крови;Мочевая кислота (Жен. от 13 до 19 лет);147.0-342.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня мочевой кислоты в крови;Мочевая кислота (Жен. от 19 до 99 лет);142.8-339.2;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня мочевой кислоты в крови;Мочевая кислота (Люб. от 0 до 15 дней);158.0-748.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня мочевой кислоты в крови;Мочевая кислота (Люб. от 1 года до 13 лет);100.0-282.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня мочевой кислоты в крови;Мочевая кислота (Люб. от 15 дней до 1 года);88.0-370.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня мочевой кислоты в крови;Мочевая кислота (Муж. от 13 до 19 лет);150.0-446.0;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня мочевой кислоты в крови;Мочевая кислота (Муж. от 19 до 99 лет);202.3-416.5;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня мочевины в крови;Мочевина (Жен. от 10 до 19 лет);2.59-6.54;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня мочевины в крови;Мочевина (Люб. от 0 до 15 дней);1.08-7.86;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня мочевины в крови;Мочевина (Люб. от 1 года до 10 лет);3.15-7.58;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня мочевины в крови;Мочевина (Люб. от 15 дней до 1 года);1.27-5.78;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня мочевины в крови;Мочевина (Люб. от 19 до 99 лет);2.76-8.08;мкмоль/л;
Биохимические исследования крови;Субстраты;Исследование уровня мочевины в крови;Мочевина (Муж. от 10 до 19 лет);2.59-7.2;мкмоль/л;
Биохимические исследования крови;Ферменты;Определение активности аланинаминотрансферазы в крови;АЛТ (аланинаминотрансфераза) (Жен. от 13 до 19 лет);11.0-22.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности аланинаминотрансферазы в крови;АЛТ (аланинаминотрансфераза) (Жен. от 19 до 99 лет);33.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности аланинаминотрансферазы в крови;АЛТ (аланинаминотрансфераза) (Люб. от 0 дней до 1 года);8.0-31.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности аланинаминотрансферазы в крови;АЛТ (аланинаминотрансфераза) (Люб. от 1 года до 13 лет);11.0-25.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности аланинаминотрансферазы в крови;АЛТ (аланинаминотрансфераза) (Муж. от 13 до 19 лет);11.0-24.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности аланинаминотрансферазы в крови;АЛТ (аланинаминотрансфераза) (Муж. от 19 до 99 лет);41.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности аспартатаминотрансферазы в крови;АСТ (аспартатаминотрансфераза) (Жен. от 12 до 19 лет);16.0-28.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности аспартатаминотрансферазы в крови;АСТ (аспартатаминотрансфераза) (Жен. от 19 до 99 лет);32.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности аспартатаминотрансферазы в крови;АСТ (аспартатаминотрансфераза) (Люб. от 0 до 15 дней);33.0-154.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности аспартатаминотрансферазы в крови;АСТ (аспартатаминотрансфераза) (Люб. от 1 года до 7 лет);23.0-44.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности аспартатаминотрансферазы в крови;АСТ (аспартатаминотрансфераза) (Люб. от 15 дней до 1 года);22.0-66.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности аспартатаминотрансферазы в крови;АСТ (аспартатаминотрансфераза) (Люб. от 7 до 12 лет);20.0-37.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности аспартатаминотрансферазы в крови;АСТ (аспартатаминотрансфераза) (Муж. от 12 до 19 лет);17.0-36.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности аспартатаминотрансферазы в крови;АСТ (аспартатаминотрансфераза) (Муж. от 19 до 99 лет);40.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности амилазы в крови;Альфа-амилаза;28.0-100.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности пакреатической амилазы в крови;Альфа-амилаза панкреатическая;13.0-53.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности гамма-глютамилтранспептидазы в крови;ГГТП (гамма-глутамилтранспептидаза) (Жен. от 18 до 99 лет);6.0-42.0;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности гамма-глютамилтранспептидазы в крови;ГГТП (гамма-глутамилтранспептидаза) (Люб. от 0 дней до 1 года);;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности гамма-глютамилтранспептидазы в крови;ГГТП (гамма-глутамилтранспептидаза) (Люб. от 1 года до 4 лет);;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности гамма-глютамилтранспептидазы в крови;ГГТП (гамма-глутамилтранспептидаза) (Люб. от 13 до 18 лет);;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности гамма-глютамилтранспептидазы в крови;ГГТП (гамма-глутамилтранспептидаза) (Люб. от 4 до 7 лет);;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности гамма-глютамилтранспептидазы в крови;ГГТП (гамма-глутамилтранспептидаза) (Люб. от 7 до 13 лет);;Ед/л;
Биохимические исследования крови;Ферменты;Определение активности гамма-глютамилтранспептидазы в крови;ГГТП (гамма-глутамилтранспептидаза) (Муж. от 18 до 99 лет);10.0-71.0;Ед/л;
